,okpdtr,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,id,okpdtr_name,okz,okz_subgroup,description
27,102952.0,30000.0,1,1,3,2,49817.333333333336,2773,Аппаратчик испарения,3133,31,Техники по обслуживанию медицинского оборудования
28,102967.0,25000.0,1,1,1,1,43655.666666666664,2774,Аппаратчик испарительной установки,7126,71,Строители-монтажники и рабочие родственных професс
29,103141.0,27500.0,2,2,123,51,49254.62091503268,2783,Аппаратчик комбикормового производства,8160,81,Операторы аппаратчики и машинисты установок электр
30,103211.0,65000.0,1,1,10,6,49567.77777777778,2787,Аппаратчик конденсации,3133,31,Техники по обслуживанию медицинского оборудования
31,103404.0,30000.0,2,1,68,23,46464.47826086957,2797,Аппаратчик крупяного производства,8160,81,Операторы аппаратчики и машинисты установок электр
32,103601.0,21153.846153846152,13,11,128,53,48737.44025157232,2806,Аппаратчик мукомольного производства,8160,81,Операторы аппаратчики и машинисты установок электр
33,103758.0,30000.0,1,1,7,2,52586.0,2814,Аппаратчик на пропиточных агрегатах,8114,81,Машинисты и аппаратчики оборудования по добыче и п
34,103866.0,16666.666666666668,3,2,14,8,48872.0,2820,Аппаратчик нейтрализации,3133,31,Техники по обслуживанию медицинского оборудования
35,104125.0,25000.0,1,1,6,3,51917.88888888888,2831,Аппаратчик обжига,3133,31,Техники по обслуживанию медицинского оборудования
36,104182.0,26666.666666666668,3,2,12,2,58742.0,2834,Аппаратчик обогащения золотосодержащих руд,8112,81,Операторы аппаратчики и машинисты установок по обр
37,104202.0,20000.0,1,1,19,6,50604.88888888888,2835,Аппаратчик обработки,8131,81,Операторы печей отжига стекла и стеклоизделий и об
38,104229.0,18785.714285714286,28,18,678,206,47581.08414239482,2836,Аппаратчик обработки зерна,8160,81,Операторы аппаратчики и машинисты установок электр
39,104905.0,24187.5,8,7,69,49,49859.734693877544,2867,Аппаратчик очистки сточных вод,3132,31,"Техники и операторы аппаратуры для радио-, телевещ"
40,104962.0,16250.0,4,3,31,22,48842.24242424243,2870,Аппаратчик пастеризации,8160,81,Операторы аппаратчики и машинисты установок электр
41,105012.0,27500.0,4,3,7,6,52405.555555555555,2871,Аппаратчик перегонки,3133,31,Техники по обслуживанию медицинского оборудования
42,105274.0,33750.0,12,9,98,39,52861.60683760683,2884,Аппаратчик подготовки сырья и отпуска полуфабрикатов и продукции,3133,31,Техники по обслуживанию медицинского оборудования
43,105448.0,20750.0,4,3,21,11,52043.27272727273,2892,Аппаратчик полимеризации,3133,31,Техники по обслуживанию медицинского оборудования
44,106417.0,30000.0,1,1,29,13,51634.62066012506,2938,Аппаратчик по приготовлению химреагентов,3132,31,"Техники и операторы аппаратуры для радио-, телевещ"
45,106953.0,25000.0,1,1,1,1,49651.0,2963,Аппаратчик приготовления медицинских масс и мазей,8131,81,Операторы печей отжига стекла и стеклоизделий и об
46,107299.0,23500.0,2,2,20,9,54400.33333333333,2981,Аппаратчик приготовления химических растворов,3133,31,Техники по обслуживанию медицинского оборудования
47,108802.0,15000.0,1,1,24,7,51921.04761904762,3059,Аппаратчик производства химических реактивов,3133,31,Техники по обслуживанию медицинского оборудования
48,109167.0,23333.333333333332,3,3,46,20,51138.866666666676,3078,Аппаратчик рафинации жиров и масел,8160,81,Операторы аппаратчики и машинисты установок электр
49,109311.0,50000.0,3,2,13,6,56619.88888888888,3085,Аппаратчик сгустителей,8112,81,Операторы аппаратчики и машинисты установок по обр
50,109491.0,34777.77777777778,9,8,125,52,54538.3076923077,3093,Аппаратчик синтеза,3133,31,Техники по обслуживанию медицинского оборудования
51,109576.0,25000.0,1,1,173,57,52702.28070175439,3096,Аппаратчик смешивания,8131,81,Операторы печей отжига стекла и стеклоизделий и об
52,109769.0,23000.0,5,3,10,7,51246.80952380953,3107,Аппаратчик стерилизации,8131,81,Операторы печей отжига стекла и стеклоизделий и об
