,okz_subgroup,year,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,group_id,group_name
81,32,2021,30120.47076023392,342,319,723,343,11849.39506466792,3,Специалисты среднего уровня квалификации
82,33,2021,31875.90286909743,3346,3157,9869,3173,12468.012953209998,3,Специалисты среднего уровня квалификации
83,34,2021,26949.324599708878,4122,3926,16913,7820,10832.095047063609,3,Специалисты среднего уровня квалификации
84,35,2021,30442.74045801527,131,122,60,52,11215.754807692309,3,Специалисты среднего уровня квалификации
85,41,2016,19220.79472693032,531,284,1,1,9014.25,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
86,42,2016,18792.353982300883,226,142,2,2,12052.0,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
87,41,2017,20712.537299771167,2185,1304,99,74,8215.768282059982,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
88,42,2017,20755.77856510186,1129,613,873,237,7571.213731260161,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
89,43,2017,25190.47619047619,105,62,113,35,8683.1,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
90,44,2017,18400.214285714286,140,79,10,9,7781.805555555556,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
91,41,2018,22595.947401377583,1597,905,1661,1138,8724.880252450059,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
92,42,2018,21594.87119437939,854,407,6621,2259,8114.47195800802,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
93,43,2018,26526.75912408759,137,66,606,254,9330.810849389281,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
94,44,2018,20402.222222222223,135,66,183,108,7517.877314814815,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
95,41,2019,22804.996694214875,1210,753,1652,1114,9449.445815779105,4,"Служащие, занятые подготовкой информации,оформлением документации, учетом и обслуживанием"
